Oenanthe isabellina
Oenanthe picata
Cercotrichas galactotes
Phoenicurus erythronotus
Phoenicurus caeruleocephalus
Phoenicurus ochruros
Phoenicurus phoenicurus
Phoenicurus auroreus
Phoenicurus erythrogaster
Erithacus rubecula
Luscinia akahige
Erithacus akahige
Luscinia sibilans
Luscinia luscinia
Luscinia megarhynchos
Luscinia calliope
Luscinia svecica
Luscinia cyane
Tarsiger cyanurus
Irania gutturalis
Cisticola juncidis
Urosphena squameiceps
Horeites canturians
Cettia canturians
Horeites diphone
Cettia diphone
Cettia cetti
Tribura davidi
Bradypterus thoracicus
Tribura taczanowskia
Bradypterus taczanowskius
Locustella pryeri
Megalurus pryeri
Locustella lanceolata
Locustella naevia
Locustella certhiola
Locustella ochotensis
Locustella pleskei
Locustella fluviatilis
Locustella luscinioides
Locustella fasciolata
Locustella amnicola
Lusciniola melanopogon
Acrocephalus melanopogon
Acrocephalus paludicola
Acrocephalus schoenobaenus
Acrocephalus bistrigiceps
Acrocephalus tangorum
Acrocephalus agricola
Acrocephalus scirpaceus
Acrocephalus dumetorum
Acrocephalus palustris
Acrocephalus arundinaceus
Acrocephalus orientalis
Phragmaticola aedon
Acrocephalus aedon
Hippolais caligata
Hippolais rama
Hippolais pallida
Hippolais icterina
Phylloscopus trochilus
Phylloscopus collybita
Phylloscopus lorenzii
Phylloscopus sindianus
Phylloscopus sibilatrix
Phylloscopus fuscatus
Phylloscopus griseolus
Phylloscopus schwarzi
Phylloscopus proregulus
Phylloscopus inornatus
Phylloscopus humei
Phylloscopus borealis
Phylloscopus trochiloides
Phylloscopus tenellipes
Phylloscopus borealoides
Phylloscopus occipitalis
Phylloscopus coronatus
Phylloscopus nitidus
Sylvia atricapilla
Sylvia borin
Sylvia nisoria
Sylvia nana
Sylvia communis
Sylvia curruca
Sylvia mystacea
Sylvia cantillans
Sylvia melanocephala
Sylvia rueppelli
Monticola saxatilis
Monticola solitarius
Monticola gularis
Muscicapa striata
Muscicapa griseisticta
Muscicapa sibirica
Muscicapa dauurica
Ficedula hypoleuca
Ficedula albicollis
Ficedula semitorquata
Ficedula zanthopygia
Ficedula narcissina
Ficedula mugimaki
Ficedula parva
Ficedula albicilla
Cyanoptila cyanomelana
Culicicapa zeylonensis
Terpsiphone atrocaudata
Terpsiphone paradisi
Panurus biarmicus
Paradoxornis webbianus
Paradoxornis polivanovi
Paradoxornis heudei
Aegithalos caudatus
Parus palustris
Poecile palustris
Parus montanus
Poecile montana
Parus cintus
Poecile cincta
Parus major
Parus minor
Parus bokharensis
Parus ater
Periparus ater
Parus cristatus
Lophophanes cristatus
Parus caeruleus
Cyanistes caeruleus
Parus cyanus
Cyanistes cyanus
Parus flavipectus
Cyanistes flavipectus
Parus varius
Sittiparus varius
Periparus venustulus
Remiz pendulinus
Remiz macronyx
Remiz coronatus
Remiz consobrinus
Sitta europaea
Sitta krueperi
Sitta villosa
Tichodroma muraria
Certhia familiaris
Certhia brachydactyla
Zosterops erythropleura
Zosterops japonica
Oriolus oriolus
Oriolus chinensis
Lanius tigrinus
Lanius bucephalus
Lanius collurio
Lanius isabellinus
Lanius cristatus
Lanius vittatus
Lanius schach
Lanius excubitor
Lanius meridionalis
Lanius minor
Lanius sphenocercus
Lanius senator
Lanius phoenicuroides
Lanius nubicus
Dicrurus macrocerus
Dicrurus hottentottus
Corvus cornix
Perisoreus infaustus
Garrulus glandarius
Cyanopica cyanus
Pica pica
Podoces hendersoni
Nucifraga caryocatactes
Pyrrhocorax pyrrhocorax
Pyrrhocorax graculus
Corvus monedula
Corvus dauuricus
Corvus frugilegus
Corvus corone
Corvus orientalis
Corvus corone
Corvus cornix
Corvus macrorhynchos
Corvus ruficollis
Corvus corax
Acridotheres tristis
Sturnia sturnina
Sturnia philippensis
